Type,Value,Type,Value,Type,Value,Type,Value
Data Source,eHot150 : TMD2 : WFM_IAMC_EHOT150,Data Source,eHot150 : TMD2 : WFM_IAMC_EHOT150,Data Source,eHot150 : TMD2 : WFM_IAMC_EHOT150,Data Source,eHot150 : TMD2 : WFM_IAMC_EHOT150
Element,500,Element,500,Element,500,Element,500
,,,,,,,
,,,,,,,
Time[s],Area,Time[s],Total Albedo Heat Source,Time[s],Total Earth Heat Source,Time[s],Total Solar Heat Source
3000.0,0.767865,3000.0,0.060052141018119634,3000.0,8.44424886663372,3000.0,209.44152882546504
3050.0,0.767865,3050.0,0.12857076670165965,3050.0,7.792185940204736,3050.0,209.4412415675451
3100.0,0.767865,3100.0,0.19708939238519965,3100.0,7.140123013775753,3100.0,209.44095430962514
3150.0,0.767865,3150.0,0.2656080180687397,3150.0,6.488060087346769,3150.0,209.44066705170522
3200.0,0.767865,3200.0,0.3341266437522797,3200.0,5.8359971609177865,3200.0,209.44037979378527
3250.0,0.767865,3250.0,0.4026452694358197,3250.0,5.183934234488803,3250.0,209.44009253586532
3300.0,0.767865,3300.0,0.4711638951193597,3300.0,4.53187130805982,3300.0,209.4398052779454
3350.0,0.767865,3350.0,0.4628329722288239,3350.0,4.111814066597862,3350.0,209.43951718480326
3400.0,0.767865,3400.0,0.4495909400570228,3400.0,3.706583265809783,3400.0,209.43922903828582
3450.0,0.767865,3450.0,0.43634890788522174,3450.0,3.3013524650217034,3450.0,209.43894089176837
3500.0,0.767865,3500.0,0.42310687571342065,3500.0,2.896121664233624,3500.0,209.43865274525095
3550.0,0.767865,3550.0,0.40986484354161956,3550.0,2.4908908634455447,3550.0,209.4383645987335
3600.0,0.767865,3600.0,0.3966228113698185,3600.0,2.0856600626574653,3600.0,209.43807645221608
3650.0,0.767865,3650.0,0.3833807791980174,3650.0,1.680429261869386,3650.0,209.43778830569863
3700.0,0.767865,3700.0,0.3701387470262163,3700.0,1.2751984610813065,3700.0,209.4375001591812
3750.0,0.767865,3750.0,0.35689671485441515,3750.0,0.8699676602932271,3750.0,209.43721201266376
3800.0,0.767865,3800.0,0.338979250716303,3800.0,0.6414745054792305,3800.0,209.4369576528875
3850.0,0.767865,3850.0,0.3164380706217451,3850.0,0.5877640615854798,3850.0,209.43673670612958
3900.0,0.767865,3900.0,0.29389689052718726,3900.0,0.5340536176917291,3900.0,209.43651575937164
3950.0,0.767865,3950.0,0.2713557104326294,3950.0,0.4803431737979784,3950.0,209.43629481261374
4000.0,0.767865,4000.0,0.2488145303380715,4000.0,0.42663272990422774,4000.0,209.43607386585583
4050.0,0.767865,4050.0,0.2262733502435136,4050.0,0.37292228601047706,4050.0,209.4358529190979
4100.0,0.767865,4100.0,0.20373217014895573,4100.0,0.31921184211672643,4100.0,209.43563197234
4150.0,0.767865,4150.0,0.18119099005439784,4150.0,0.2655013982229757,4150.0,209.43541102558208
4200.0,0.767865,4200.0,0.15864980995983996,4200.0,0.211790954329225,4200.0,209.43519007882415
4250.0,0.767865,4250.0,0.13663114808485008,4250.0,0.16048159020723626,4250.0,209.43497731847998
4300.0,0.767865,4300.0,0.12205175352783974,4300.0,0.14335720491469128,4300.0,209.43488111085634
4350.0,0.767865,4350.0,0.1074723589708294,4350.0,0.12623281962214628,4350.0,209.4347849032327
4400.0,0.767865,4400.0,0.09289296441381907,4400.0,0.10910843432960128,4400.0,209.43468869560905
4450.0,0.767865,4450.0,0.07831356985680873,4450.0,0.0919840490370563,4450.0,209.4345924879854
4500.0,0.767865,4500.0,0.0637341752997984,4500.0,0.0748596637445113,4500.0,209.43449628036177
4550.0,0.767865,4550.0,0.049154780742788076,4550.0,0.057735278451966326,4550.0,209.43440007273813
4600.0,0.767865,4600.0,0.03457538618577774,4600.0,0.04061089315942133,4600.0,209.4343038651145
4650.0,0.767865,4650.0,0.019995991628767404,4650.0,0.02348650786687634,4650.0,209.43420765749084
4700.0,0.767865,4700.0,0.005416597071757068,4700.0,0.006362122574331358,4700.0,209.43411144986723
4750.0,0.767865,4750.0,0.0,4750.0,0.0,4750.0,209.4341093841339
4800.0,0.767865,4800.0,0.0,4800.0,0.0,4800.0,209.434162970475
4850.0,0.767865,4850.0,0.0,4850.0,0.0,4850.0,209.4342165568161
4900.0,0.767865,4900.0,0.0,4900.0,0.0,4900.0,209.4342701431572
4950.0,0.767865,4950.0,0.0,4950.0,0.0,4950.0,209.4343237294983
5000.0,0.767865,5000.0,0.0,5000.0,0.0,5000.0,209.4343773158394
5050.0,0.767865,5050.0,0.0,5050.0,0.0,5050.0,209.4344309021805
5100.0,0.767865,5100.0,0.0,5100.0,0.0,5100.0,209.4344844885216
5150.0,0.767865,5150.0,0.0,5150.0,0.0,5150.0,209.4345380748627
5200.0,0.767865,5200.0,0.0,5200.0,0.0,5200.0,209.43461765033916
5250.0,0.767865,5250.0,0.0,5250.0,0.0,5250.0,209.4348070754204
5300.0,0.767865,5300.0,0.0,5300.0,0.0,5300.0,209.43499650050163
5350.0,0.767865,5350.0,0.0,5350.0,0.0,5350.0,209.43518592558283
5400.0,0.767865,5400.0,0.0,5400.0,0.0,5400.0,209.43537535066406
5450.0,0.767865,5450.0,0.0,5450.0,0.0,5450.0,209.4355647757453
5500.0,0.767865,5500.0,0.0,5500.0,0.0,5500.0,209.4357542008265
5550.0,0.767865,5550.0,0.0,5550.0,0.0,5550.0,209.43594362590773
5600.0,0.767865,5600.0,0.0,5600.0,0.0,5600.0,209.43613305098896
5650.0,0.767865,5650.0,0.0,5650.0,0.0,5650.0,209.4363224760702
5662.291449,0.767865,5662.291449,4.4135659549351177E-10,5662.291449,2.348637531457904E-9,5662.291449,209.436786433871
